time,P_tank1,P_tank2,P_tank3,P_tank4,P_tank5,P_tank6,P_tank7,P_tank8,P_tank9,P_tank10
51.0,3528.704540363543,3727.680567344552,3926.743886088112,4125.8732106967445,4325.051506087972,4524.200885431272,4723.392799657206,4922.554963524614,5121.696773607635,5320.8363686602825
52.0,3529.264168377858,3728.220455521923,3927.265680667919,4126.378156831747,4325.540526149556,4524.6733805166505,4723.849196764045,4922.995441759582,5122.120530517872,5321.243348779511
53.0,3529.8236741956944,3728.760234278431,3927.78737614911,4126.883012343781,4326.029462636922,4525.14579787884,4724.305521309491,4923.435852013665,5122.544223480795,5321.650268523462
54.0,3530.383057878246,3729.299903662759,3928.3089725712925,4127.387777265545,4326.51831557734,4525.618137541472,4724.761773313897,4923.876194304494,5122.9678525116515,5322.0571279052465
55.0,3530.9423194866263,3729.8394637235338,3928.8304699739056,4127.892451629592,4327.007084998141,4526.090399528137,4725.2179527977305,4924.316468649618,5123.391417625808,5322.463926937953
56.0,3531.5014590818905,3730.3789145094274,3929.3518683965285,4128.3970354685225,4327.495770926612,4526.562583862437,4725.67405978134,4924.756675066818,5123.8149188384805,5322.870665634625
57.0,3532.060476725091,3730.918256068957,3929.873167878518,4128.901528815,4327.984373390085,4527.034690567982,4726.130094285158,4925.196813573202,5124.238356164956,5323.277344008331
58.0,3532.6193724771183,3731.4574884506674,3930.3943684593346,4129.405931701558,4328.472892415787,4527.506719668302,4726.586056329513,4925.63688418656,5124.661729620549,5323.683962072139
59.0,3533.1781463988073,3731.996611703039,3930.915470178386,4129.910244160742,4328.961328030951,4527.978671186976,4727.041945934768,4926.07688692441,5125.085039220433,5324.090519839134
60.0,3533.736798551141,3732.5356258745405,3931.436473075043,4130.414466225082,4329.449680262814,4528.450545147503,4727.497763121294,4926.516821804268,5125.5082849798855,5324.49701732236
61.0,3534.295328994857,3733.0745310135817,3931.957377188582,4130.918597927048,4329.93794913856,4528.922341573414,4727.95350790937,4926.956688843641,5125.931466914161,5324.90345453486
62.0,3534.853737790593,3733.613327168533,3932.4781825584178,4131.42263929902,4330.426134685443,4529.394060488227,4728.409180319379,4927.396488060093,5126.354585038482,5325.309831489648
63.0,3535.4120249990647,3734.152014387706,3932.9988892237566,4131.926590373633,4330.914236930639,4529.865701915459,4728.864780371636,4927.836219471024,5126.77763936805,5325.716148199812
64.0,3535.9701906808787,3734.690592719499,3933.5194972238655,4132.430451183253,4331.402255901249,4530.337265878587,4729.320308086439,4928.275883093994,5127.200629918083,5326.1224046783245
65.0,3536.5282348966334,3735.2290622119335,3934.0400065979234,4132.934221760278,4331.890191624456,4530.8087524011,4729.775763484061,4928.7154789465,5127.623556703761,5326.528600938202
66.0,3537.0861577068,3735.767422913363,3934.560417385197,4133.437902137082,4332.378044127391,4531.280161506445,4730.231146584837,4929.1550070459725,5128.046419740391,5326.934736992488
67.0,3537.6439591717713,3736.3056748721006,3935.080729624804,4133.941492346062,4332.865813437151,4531.751493218061,4730.686457409045,4929.59446740991,5128.469219043049,5327.340812854176
68.0,3538.2016393519207,3736.8438181361644,3935.600943355884,4134.444992419552,4333.353499580857,4532.222747559374,4731.141695976942,4930.033860055708,5128.891954626992,5327.74682853622
69.0,3538.7591983076386,3737.3818527536205,3936.121058617536,4134.948402389873,4333.841102585565,4532.69392455381,4731.596862308656,4930.473185000813,5129.314626507337,5328.152784051675
70.0,3539.3166360991386,3737.919778772467,3936.641075448798,4135.45172228931,4334.328622478323,4533.165024224789,4732.0519564247115,4930.9124422627065,5129.737234699291,5328.558679413473
71.0,3539.8739527866783,3738.4575962407484,3937.160993888785,4135.954952150136,4334.816059286132,4533.6360465957,4732.506978345285,4931.351631858676,5130.159779218003,5328.964514634584
72.0,3540.4311484303853,3738.9953052063893,3937.6808139764944,4136.458092004627,4335.303413036109,4534.106991689948,4732.961928090068,4931.790753806324,5130.582260078561,5329.37028972798
73.0,3540.9882230904554,3739.532905717346,3938.200535750878,4136.961141884978,4335.790683755245,4534.577859530816,4733.416805679678,4932.229808122971,5131.004677296215,5329.77600470663
74.0,3541.545176826818,3740.070397821504,3938.7201592508895,4137.464101823456,4336.27787147048,4535.048650141423,4733.871611134203,4932.6687948260205,5131.4270308860505,5330.181659583514
75.0,3542.1020096994903,3740.607781566741,3939.2396845154512,4137.96697185223,4336.764976208857,4535.519363545655,4734.3263444739205,4933.10771393287,5131.849320863192,5330.587254371574
76.0,3542.658721768423,3741.1450570008324,3939.7591115835226,4138.469752003478,4337.251997997275,4535.9899997665,4734.78100571898,4933.546565460862,5132.271547242721,5330.992789083725
77.0,3543.2153130935053,3741.682224171564,3940.2784404939553,4138.97244230934,4337.73893686272,4536.46055882735,4735.235594889498,4933.985349427348,5132.69371003978,5331.398263732869
78.0,3543.771783734535,3742.2192831267093,3940.797671285562,4139.475042801934,4338.225792832002,4536.93104075147,4735.690112005609,4934.424065849765,5133.115809269471,5331.8036783319485
79.0,3544.3281337513854,3742.756233913959,3941.31680399716,4139.977553513358,4338.712565932214,4537.401445562136,4736.144557087481,4934.862714745396,5133.537844946891,5332.209032893918
80.0,3544.8843632038815,3743.2930765808483,3941.835838667523,4140.479974475719,4339.199256190206,4537.871773282615,4736.598930155225,4935.301296131718,5133.959817087113,5332.614327431662
81.0,3545.440472151359,3743.8298111750514,3942.354775335435,4140.982305721077,4339.6858636328125,4538.342023936125,4737.053231228938,4935.739810025836,5134.381725705233,5333.019561958089
82.0,3545.9964606535636,3744.3664377441464,3942.8736140397004,4141.484547281427,4340.1723882868955,4538.8121975459335,4737.50746032871,4936.178256445158,5134.803570816293,5333.424736486131
83.0,3546.552328770068,3744.902956335705,3943.392354818809,4141.986699188844,4340.658830179316,4539.282294135259,4737.961617474674,4936.6166354070265,5135.225352435358,5333.829851028647
84.0,3547.1080765603256,3745.4393669971387,3943.9109977115654,4142.488761475288,4341.1451893368585,4539.752313727292,4738.415702686855,4937.054946928737,5135.647070577511,5334.234905598539
85.0,3547.663704083772,3745.9756697759867,3944.429542756589,4142.990734172758,4341.631465786353,4540.222256345245,4738.8697159853555,4937.493191027558,5136.06872525776,5334.639900208647
86.0,3548.2192113997435,3746.511864719673,3944.947989992463,4143.492617313185,4342.117659554604,4540.692122012345,4739.323657390259,4937.931367720765,5136.490316491189,5335.044834872109
87.0,3548.774598567664,3747.0479518754946,3945.466339457792,4143.994410928514,4342.6037706684365,4541.161910751647,4739.777526921535,4938.36947702571,5136.911844292772,5335.449709601311
88.0,3549.329865646719,3747.583931290861,3945.9845911911348,4144.496115050727,4343.089799154514,4541.631622586385,4740.231324599306,4938.807518959573,5137.333308677557,5335.854524409386
89.0,3549.8850126961793,3748.119803013046,3946.5027452310032,4144.997729711728,4343.575745039622,4542.1012575397035,4740.685050443526,4939.245493539657,5137.754709660554,5336.259279309133
90.0,3550.4400397751583,3748.6555670893117,3947.0208016159313,4145.499254943651,4344.061608350517,4542.570815634748,4741.138704474229,4939.683400783247,5138.176047256787,5336.663974313453
91.0,3550.994946942757,3749.1912235668965,3947.5387603843687,4146.000690777561,4344.547389113883,4543.040296894604,4741.592286711413,4940.121240707464,5138.597321481241,5337.068609435111
92.0,3551.5497342581475,3749.7267724929798,3948.056621574743,4146.502037245773,4345.033087356398,4543.509701342443,4742.045797175057,4940.559013329643,5139.018532348928,5337.473184686951
93.0,3552.104401780228,3750.2622139147693,3948.574385225514,4147.003294380043,4345.518703104816,4543.979029001222,4742.499235885145,4940.996718666982,5139.439679874787,5337.877700081822
94.0,3552.6589495679796,3750.7975478792046,3949.0920513749684,4147.504462212155,4346.004236385786,4544.448279894113,4742.95260286166,4941.4343567366195,5139.860764073806,5338.282155632554
95.0,3553.213377680238,3751.3327744334583,3949.60962006151,4148.005540773874,4346.489687225839,4544.917454044144,4743.4058981245535,4941.871927555793,5140.281784960974,5338.686551351959
